d3mIndex,Length.of.service,CAP,PA.normalized,Minority,Laid.off
0,3.17,7,3.33,1,1
1,4.47,8,3.33,1,1
2,0.69,11,4.44,1,1
3,1.52,16,1.11,1,1
4,7.43,6,13.32,1,1
5,10.95,7,14.44,1,1
6,9.53,7,16.68,1,1
7,6.41,16,9.99,1,1
8,7.41,15,13.32,0,1
9,7.0,13,15.56,1,1
10,1.82,27,3.33,1,1
11,7.78,11,17.79,0,1
12,8.76,12,16.68,1,1
13,7.0,16,13.32,1,1
14,7.39,13,16.68,0,1
15,15.52,15,12.23,1,1
16,6.84,16,14.44,1,1
17,6.84,13,17.79,0,1
18,21.91,8,17.79,1,1
19,8.64,14,16.68,1,0
20,1.52,32,1.11,0,0
21,7.33,18,13.32,1,0
22,3.32,30,3.33,1,0
23,10.28,19,12.23,0,0
24,5.1,21,12.21,1,0
25,1.82,31,3.33,1,0
26,3.17,25,9.99,1,0
27,23.18,10,18.9,1,0
28,7.82,19,16.68,0,0
29,8.23,20,15.56,1,0
30,8.81,19,16.68,1,0
31,8.05,18,18.9,1,0
32,21.53,13,20.01,0,0
33,23.01,13,20.01,1,0
34,6.67,8,20.01,0,0
35,7.43,20,18.9,1,0
36,7.1,21,18.9,0,0
37,7.06,24,16.68,1,0
38,3.4,32,9.99,1,0
39,29.32,16,17.79,0,0
40,1.06,40,3.33,0,0
41,4.87,30,12.21,0,0
42,7.33,27,14.45,0,0
43,3.17,33,9.99,1,0
44,6.82,24,17.79,0,0
45,4.53,30,13.33,1,0
46,6.49,24,18.9,1,0
47,17.37,16,23.34,0,0
48,9.73,22,20.01,1,0
49,7.19,24,18.9,1,0
50,3.75,32,12.21,1,0
51,13.5,21,20.01,0,0
52,7.52,27,16.68,1,0
53,20.83,13,26.67,1,0
54,8.5,25,18.9,0,0
55,22.71,16,23.34,0,0
56,7.21,29,15.56,1,0
57,3.11,36,9.99,1,0
58,10.41,28,15.56,1,0
59,42.89,13,20.01,0,0
60,6.96,25,20.01,1,0
61,11.28,25,18.9,0,0
62,8.19,25,20.01,0,0
63,4.75,33,13.33,0,0
64,1.82,43,4.44,0,0
65,1.84,43,4.44,0,0
66,6.84,27,18.9,1,0
67,7.69,27,18.9,1,0
68,23.06,23,17.79,0,0
69,12.74,21,20.01,0,0
70,1.82,45,3.33,0,0
71,8.5,28,18.9,1,0
72,3.94,32,16.67,0,0
73,1.78,45,4.44,0,0
74,7.04,33,15.56,1,0
75,13.76,23,23.34,1,0
76,13.83,23,23.34,0,0
77,6.71,31,17.79,0,0
78,7.33,30,18.9,0,0
79,22.02,24,25.56,1,0
80,6.86,34,15.56,1,0
81,7.76,36,13.33,1,0
82,13.76,33,14.44,1,0
83,11.26,30,18.9,0,0
84,13.06,25,23.34,0,0
85,36.07,21,20.01,0,0
86,11.12,26,23.34,1,0
87,3.29,41,11.1,0,0
88,7.07,32,18.9,0,0
89,21.55,23,23.34,0,0
90,10.68,30,20.01,0,0
91,4.85,41,11.1,0,0
92,13.52,26,23.34,0,0
93,21.49,27,20.01,0,0
94,21.49,27,20.01,0,0
95,7.18,32,20.01,1,0
96,30.79,22,22.23,1,0
97,15.48,26,23.34,0,0
98,10.68,31,20.01,1,0
99,14.05,30,20.01,0,0
100,14.01,29,21.12,1,0
101,8.68,30,22.23,0,0
102,25.01,29,17.79,0,0
103,25.98,20,26.67,1,0
104,20.99,29,20.01,1,0
105,7.82,36,17.79,1,0
106,10.14,32,21.12,0,0
107,23.12,29,20.01,0,0
108,8.5,35,18.9,1,0
109,6.65,39,15.56,1,0
110,13.36,29,23.34,0,0
111,7.76,32,22.23,0,0
112,13.54,29,23.34,0,0
113,19.64,27,23.34,0,0
114,13.72,29,23.34,0,0
115,13.76,29,23.34,0,0
116,7.0,38,16.68,1,0
117,7.04,38,16.68,1,0
118,17.92,28,23.34,0,0
119,12.51,30,23.34,0,0
120,21.71,27,23.34,0,0
121,8.68,36,18.9,0,0
122,18.56,25,26.67,0,0
123,10.69,31,23.34,0,0
124,6.98,39,16.68,1,0
125,21.55,27,24.45,0,0
126,8.03,36,20.01,1,0
127,4.38,44,13.33,0,0
128,3.42,39,18.9,0,0
129,14.51,31,23.34,0,0
130,6.65,37,20.01,0,0
131,7.0,37,20.01,1,0
132,7.7,39,17.79,1,0
133,15.66,31,23.34,1,0
134,22.14,29,23.34,1,0
135,8.23,37,20.01,0,0
136,10.55,30,26.67,0,0
137,7.21,40,17.79,1,0
138,8.5,38,20.01,1,0
139,8.54,38,20.01,0,0
140,21.73,27,26.67,1,0
141,22.77,27,26.67,0,0
142,7.37,40,18.9,1,0
143,7.33,38,21.12,0,0
144,23.14,32,22.23,0,0
145,17.29,33,23.34,0,0
146,21.38,45,10.0,1,0
147,6.75,40,20.01,0,0
148,6.92,41,20.01,0,0
149,18.47,33,23.34,0,0
150,8.46,42,17.79,1,0
151,7.12,47,13.34,1,0
152,13.76,35,23.34,1,0
153,22.51,29,26.67,0,0
154,18.69,35,22.23,0,0
155,4.87,49,13.33,0,0
156,6.9,44,17.79,0,0
157,14.35,33,26.67,0,0
158,5.0,45,17.79,0,0
159,9.73,38,23.34,0,0
160,8.29,41,21.12,1,0
161,3.68,51,14.44,1,0
162,9.42,38,25.56,1,0
163,34.41,32,23.34,0,0
164,8.5,44,20.01,1,0
165,13.54,39,23.34,1,0
166,19.19,36,24.45,1,0
167,10.52,40,23.34,0,0
168,6.94,46,18.9,0,0
169,18.51,38,23.34,0,0
170,7.86,46,18.9,0,0
171,22.24,37,23.34,0,0
172,17.33,40,22.23,1,0
173,14.35,40,23.34,0,0
174,7.02,46,20.01,0,0
175,12.23,40,24.45,0,0
176,32.65,31,26.67,0,0
177,11.41,42,23.34,0,0
178,7.54,47,20.01,1,0
179,7.58,45,22.23,0,0
180,10.44,43,23.34,0,0
181,10.59,43,23.34,0,0
182,8.23,45,22.23,0,0
183,16.55,40,24.45,0,0
184,14.05,42,23.34,0,0
185,17.9,40,24.45,0,0
186,17.86,39,23.34,0,0
187,21.28,46,17.78,0,0
188,14.99,43,23.34,0,0
189,7.58,47,22.23,0,0
190,28.12,38,24.45,0,0
191,13.15,41,26.67,0,0
192,19.17,39,26.67,0,0
193,6.75,51,18.9,1,0
194,3.19,60,11.1,0,0
195,7.19,51,18.9,0,0
196,17.33,46,21.12,0,0
197,13.31,42,26.67,0,0
198,9.75,50,20.01,1,0
199,7.84,54,16.67,0,0
200,7.31,52,18.9,1,0
201,6.98,51,20.01,0,0
202,3.68,58,14.44,0,0
203,12.31,43,26.67,0,0
204,22.41,43,23.34,0,0
205,9.81,45,25.56,0,0
206,18.54,41,26.67,0,0
207,7.04,45,26.67,0,0
208,4.81,57,15.56,0,0
209,14.62,43,26.67,0,0
210,7.64,51,21.12,1,0
211,12.19,44,26.67,0,0
212,22.3,50,17.78,1,0
213,10.41,44,27.78,0,0
214,7.29,54,18.9,1,0
215,25.99,40,26.67,0,0
216,25.52,44,23.34,1,0
217,6.81,55,18.9,0,0
218,13.54,45,26.67,0,0
219,13.15,49,23.34,0,0
220,8.46,54,20.01,0,0
221,21.83,43,26.67,0,0
222,22.0,43,26.67,0,0
223,13.69,46,26.67,1,0
224,22.67,43,26.67,0,0
225,6.94,54,21.12,0,0
226,7.74,54,21.12,1,0
227,23.49,44,26.67,1,0
228,9.22,49,26.67,0,0
229,21.98,45,26.67,0,0
230,8.19,53,23.34,1,0
231,15.68,48,26.67,0,0
232,16.3,48,26.67,0,0
233,22.61,46,26.67,1,0
234,21.3,47,26.67,0,0
235,27.08,46,26.67,0,0
236,14.11,51,26.67,0,0
237,14.44,51,26.67,0,0
238,17.43,50,26.67,0,0
239,18.35,51,25.56,0,0
240,7.58,58,22.23,1,0
241,15.14,49,28.89,0,0
242,25.52,48,26.67,0,0
243,29.43,46,27.78,0,0
244,20.98,51,26.67,0,0
245,18.52,52,26.67,0,0
246,10.07,56,26.67,0,0
247,22.73,52,26.67,0,0
248,36.47,48,26.67,0,0
249,7.64,60,24.45,0,0
250,13.76,56,26.67,0,0
251,21.26,54,26.67,0,0
252,14.05,57,26.67,0,0
253,17.76,53,30.0,0,0
254,18.05,57,26.67,0,0
255,17.29,54,30.0,0,0
256,14.36,56,30.0,0,0
257,28.56,56,26.67,0,0
258,11.39,59,30.0,0,0
259,10.57,60,30.0,0,0
260,14.62,60,28.89,0,0
261,26.01,59,26.67,0,0
262,15.38,60,30.0,0,0
263,21.2,59,30.0,0,0
