d3mIndex,year,field_goals,field_goal_attempts
0,85,3,10
1,85,7,13
2,85,5,11
3,85,12,23
4,85,7,13
5,85,0,4
6,85,2,5
7,85,2,8
8,85,2,9
9,85,4,6
10,85,1,6
11,85,11,16
12,85,5,13
13,85,14,24
14,85,3,11
15,85,10,18
16,85,10,20
17,85,4,8
18,85,3,7
19,85,10,16
20,85,8,14
21,85,2,7
22,85,7,15
23,85,6,12
24,85,9,16
25,85,2,11
26,85,11,23
27,85,3,12
28,85,4,9
29,85,1,4
30,85,6,16
31,85,2,7
32,85,4,11
33,85,7,16
34,85,7,15
35,85,8,17
36,85,7,14
37,85,11,19
38,85,6,13
39,85,7,13
40,85,5,9
41,85,8,15
42,85,10,19
43,85,4,13
44,85,5,10
45,85,6,8
46,85,5,14
47,85,4,14
48,85,6,11
49,85,11,16
50,85,12,18
51,85,3,10
52,85,7,12
53,85,5,12
54,85,11,16
55,85,1,9
56,85,6,13
57,85,4,8
58,85,5,10
59,85,7,15
60,85,3,9
61,85,6,16
62,85,5,10
63,85,6,10
64,85,6,13
65,85,2,6
66,85,4,10
67,85,1,7
68,85,9,15
69,85,10,22
70,85,5,12
71,85,8,16
72,85,3,16
73,85,8,17
74,85,3,7
75,85,7,12
76,85,9,15
77,85,10,19
78,85,2,10
79,85,8,19
80,85,9,17
81,85,4,10
82,85,1,3
83,86,7,13
84,86,5,15
85,86,11,17
86,86,9,16
87,86,6,14
88,86,7,17
89,86,9,20
90,86,1,4
91,86,9,22
92,86,10,17
93,86,11,21
94,86,6,12
95,86,9,17
96,86,5,12
97,86,9,16
98,86,10,17
99,86,6,14
100,86,12,16
101,86,4,7
102,86,7,14
103,86,7,14
104,86,5,12
105,86,10,18
106,86,3,10
107,86,6,15
108,86,7,14
109,86,5,13
110,86,5,16
111,86,3,9
112,86,8,16
113,86,8,16
114,86,10,17
115,86,8,17
116,86,7,18
117,86,3,10
118,86,3,13
119,86,8,10
120,86,7,15
121,86,8,14
122,86,6,11
123,86,3,12
124,86,11,22
125,86,9,14
126,86,10,20
127,86,8,21
128,86,6,13
129,86,2,9
130,86,5,13
131,86,6,17
132,86,4,7
133,86,4,12
134,86,7,15
135,86,1,6
136,86,13,21
137,86,7,18
138,86,10,16
139,86,8,13
140,86,4,10
141,86,2,8
142,86,12,19
143,86,3,11
144,86,6,14
145,86,7,16
146,86,3,10
147,86,7,17
148,86,15,25
149,86,3,11
150,86,9,25
151,86,10,16
152,86,7,21
153,86,4,11
154,86,7,15
155,86,7,13
156,86,7,15
157,86,9,20
158,86,6,15
159,86,7,18
160,86,4,16
161,86,6,13
162,86,6,18
163,86,8,16
164,86,5,13
165,86,6,14
166,86,2,8
167,86,2,9
168,86,6,14
169,86,7,15
170,86,7,11
171,86,6,16
172,86,12,20
173,86,8,13
174,86,9,15
175,86,5,12
176,87,6,14
177,87,6,14
178,87,5,13
179,87,13,19
180,87,6,14
181,87,9,18
182,87,9,16
183,87,2,7
184,87,9,20
185,87,8,18
186,87,6,11
187,87,4,13
188,87,9,20
189,87,6,12
190,87,7,16
191,87,4,10
192,87,0,3
193,87,5,11
194,87,2,6
195,87,4,8
196,87,3,7
197,87,1,8
198,87,2,10
199,87,3,10
200,87,12,19
201,87,7,16
202,87,4,14
203,87,8,14
204,87,9,21
205,87,3,10
206,87,10,20
207,87,6,10
208,87,8,13
209,87,3,11
210,87,9,15
211,87,7,13
212,87,9,13
213,87,1,5
214,87,2,5
215,87,2,8
216,87,0,3
217,87,7,14
218,87,5,13
219,87,5,9
220,87,4,11
221,87,2,10
222,87,10,16
223,87,5,16
224,87,1,6
225,87,7,17
226,87,6,13
227,87,3,9
228,87,0,5
229,87,8,15
230,87,3,9
231,87,5,10
232,87,0,3
233,87,6,11
234,87,3,9
235,87,6,13
236,87,3,7
237,87,7,13
238,87,5,12
239,87,4,10
240,87,1,4
241,87,0,5
242,87,1,5
243,87,9,17
244,87,5,8
245,87,7,14
246,87,4,11
247,87,3,10
248,87,4,12
249,87,6,12
250,87,4,10
251,87,7,12
252,87,6,10
253,87,7,12
254,87,6,12
255,87,4,12
256,87,8,17
257,87,9,16
258,87,0,6
259,87,2,9
260,87,3,8
261,87,3,6
262,87,4,10
263,87,4,14
264,87,2,8
265,87,9,13
266,87,7,10
267,87,3,12
268,87,5,9
269,87,9,18
270,87,5,11
271,87,1,5
272,87,0,1
273,87,10,15
274,87,7,11
275,87,3,14
276,87,3,11
277,87,6,11
278,87,8,16
279,87,2,7
280,87,5,14
281,88,4,8
282,88,1,7
283,88,8,13
284,88,7,12
285,88,3,8
286,88,1,3
287,88,3,7
288,88,2,8
289,88,2,3
290,88,6,17
291,88,6,9
292,88,4,8
293,88,8,18
294,88,5,13
295,88,5,10
296,88,1,5
297,88,7,16
298,88,0,4
299,88,4,12
300,88,3,7
301,88,2,7
302,88,3,9
303,88,7,15
304,88,9,16
305,88,8,16
306,88,5,13
307,88,2,8
308,88,9,15
309,88,9,16
310,88,4,11
311,88,2,8
312,88,7,15
313,88,5,10
314,88,7,12
315,88,7,12
316,88,7,12
317,88,9,20
318,88,8,16
319,88,10,22
320,88,10,16
321,88,4,13
322,88,9,18
323,88,10,17
324,88,9,16
325,88,4,10
326,88,8,17
327,88,1,11
328,88,9,18
329,88,9,16
330,88,3,8
331,88,3,8
332,88,3,9
333,88,13,21
334,88,6,11
335,88,7,10
336,88,4,12
337,88,4,11
338,88,3,10
339,88,4,12
340,88,9,10
341,88,12,20
342,88,6,16
343,88,0,5
344,88,2,4
345,88,5,11
346,88,4,14
347,88,0,4
348,88,10,16
349,88,1,5
350,88,10,21
351,88,4,13
352,88,6,14
353,88,11,23
354,88,9,13
355,88,7,11
356,88,13,22
357,88,3,10
358,88,5,9
359,88,4,10
360,88,7,16
361,88,1,7
362,88,10,17
363,88,1,9
364,88,5,10
365,88,10,18
366,88,5,11
367,88,7,14
368,88,5,12
369,88,1,5
370,88,3,11
371,88,4,11
372,88,6,14
373,88,3,8
374,88,8,14
375,88,3,13
376,88,9,14
377,88,8,14
378,88,8,11
379,88,5,11
