d3mIndex,heart_rate,sleep_state,temperature
0,152,4,37.45
1,156,4,37.45
2,147,4,37.45
3,145,4,37.45
4,129,4,37.45
5,131,4,37.45
6,137,4,37.45
7,138,4,37.45
8,139,4,37.4
9,141,4,37.4
10,142,4,37.4
11,128,4,37.4
12,142,4,37.4
13,155,4,37.4
14,150,4,37.4
15,146,4,37.4
16,150,4,37.4
17,146,4,37.4
18,151,4,37.4
19,145,4,37.4
20,146,4,37.4
21,146,4,37.4
22,139,4,37.4
23,135,4,37.4
24,141,4,37.35
25,145,4,37.35
26,149,4,37.35
27,140,4,37.35
28,146,4,37.35
29,147,4,37.4
30,144,4,37.4
31,140,4,37.4
32,135,4,37.35
33,118,4,37.35
34,120,4,37.35
35,135,4,37.35
36,146,4,37.3
37,139,4,37.35
38,138,4,37.3
39,129,4,37.3
40,130,4,37.3
41,128,4,37.3
42,125,4,37.35
43,127,4,37.35
44,131,4,37.35
45,132,4,37.35
46,145,4,37.35
47,153,4,37.4
48,154,4,37.35
49,145,4,37.35
50,146,4,37.35
51,140,4,37.35
52,134,4,37.35
53,128,4,37.35
54,127,4,37.35
55,140,4,37.35
56,143,4,37.35
57,138,4,37.35
58,124,4,37.35
59,123,4,37.35
60,131,4,37.35
61,151,4,37.35
62,136,4,37.35
63,126,2,37.3
64,127,2,37.35
65,129,2,37.35
66,124,2,37.35
67,128,2,37.35
68,130,2,37.35
69,121,2,37.35
70,141,2,37.3
71,128,2,37.35
72,130,2,37.3
73,124,2,37.3
74,128,1,37.35
75,122,1,37.3
76,130,1,37.3
77,130,1,37.3
78,135,1,37.3
79,125,1,37.3
80,123,1,37.3
81,127,1,37.3
82,125,1,37.3
83,125,1,37.25
84,129,1,37.25
85,128,1,37.25
86,130,1,37.25
87,128,1,37.2
88,130,1,37.2
89,129,1,37.2
90,129,1,37.2
91,129,1,37.2
92,130,1,37.2
93,131,1,37.2
94,131,1,37.2
95,130,1,37.2
96,131,1,37.2
97,131,1,37.2
98,132,1,37.2
99,129,1,37.2
100,131,1,37.2
101,131,1,37.15
102,128,1,37.15
103,127,1,37.15
104,128,1,37.15
105,129,1,37.15
106,131,1,37.15
107,131,1,37.15
108,131,1,37.15
109,131,1,37.15
110,129,1,37.15
111,125,1,37.15
112,124,1,37.15
113,130,1,37.15
114,125,1,37.15
115,126,1,37.15
116,127,1,37.15
117,124,1,37.15
118,122,1,37.15
119,128,1,37.15
120,128,1,37.15
121,126,1,37.15
122,130,1,37.15
123,114,1,37.15
124,123,1,37.15
125,116,3,37.15
126,127,3,37.15
127,123,3,37.15
128,131,3,37.15
129,125,3,37.15
130,123,3,37.15
131,125,3,37.15
132,123,3,37.15
133,114,3,37.15
134,120,3,37.1
135,130,3,37.15
136,126,3,37.15
137,112,3,37.15
138,114,3,37.15
139,125,3,37.15
140,128,3,37.15
141,115,3,37.1
142,121,3,37.15
143,124,3,37.15
144,128,3,37.15
145,118,3,37.1
146,119,3,37.1
147,121,3,37.1
148,130,3,37.1
149,115,3,37.1
150,124,3,37.1
151,129,3,37.1
152,125,3,37.05
153,120,3,37.05
154,118,3,37.05
155,121,3,37.1
156,120,3,37.1
157,119,3,37.05
158,127,3,37.05
159,120,3,37.05
160,124,3,37.05
161,121,3,37.05
162,120,3,37.1
163,122,3,37.05
164,118,3,37.05
165,112,3,37.05
166,115,3,37.05
167,120,3,37.05
168,123,3,37.05
169,125,3,37.05
170,113,2,37.05
171,124,2,37.05
172,133,2,37.05
173,117,2,37.05
174,121,2,37.05
175,121,2,37.05
176,117,2,37.1
177,124,2,37.1
178,133,2,37.05
179,129,2,37.05
180,120,2,37.05
181,129,2,37.05
182,114,2,37.05
183,119,2,37.05
184,123,2,37.05
185,131,2,37.05
186,114,2,37.05
187,124,1,37.05
188,123,1,37.05
189,128,1,37.05
190,117,1,37.05
191,118,1,37.05
192,118,1,37.05
193,120,1,37.05
194,119,1,37.05
195,120,1,37.05
196,124,1,37.05
197,126,1,37.05
198,124,1,37.05
199,122,1,37.05
200,122,1,37.05
201,118,1,37.05
202,123,1,37.05
203,122,1,37.05
204,124,1,37.05
205,124,1,37.05
206,125,1,37.05
207,124,1,37.05
208,122,1,37.05
209,122,1,37.05
210,124,1,37.0
211,124,1,37.0
212,121,1,37.0
213,123,1,37.0
214,123,1,37.0
215,124,1,37.0
216,121,1,37.0
217,124,1,37.0
218,124,1,37.0
219,123,1,37.0
220,120,1,36.95
221,123,1,36.95
222,121,1,36.95
223,124,1,36.95
224,122,1,36.95
225,123,1,36.95
226,124,1,36.95
227,122,1,36.95
228,122,1,36.95
229,119,1,36.95
230,123,1,36.95
231,120,1,36.95
232,121,1,36.95
233,120,1,36.95
234,122,1,36.95
235,119,1,36.95
236,119,1,36.95
237,116,1,36.95
238,119,1,36.9
239,117,1,36.9
240,120,1,36.9
241,110,1,36.9
242,112,1,36.9
243,112,1,36.9
244,117,1,36.9
245,113,1,36.9
246,114,1,36.9
247,121,1,36.9
248,123,1,36.9
249,111,3,36.85
250,117,3,36.9
251,129,3,36.9
252,119,3,36.85
253,110,3,36.9
254,117,3,36.9
255,114,3,36.85
256,113,3,36.9
257,117,3,36.85
258,115,4,36.85
259,140,4,36.9
260,130,4,36.9
261,122,4,36.9
262,123,4,36.9
263,106,4,36.9
264,118,4,36.9
265,126,4,36.9
266,117,4,36.9
267,117,4,36.9
268,119,4,36.9
269,132,4,36.9
270,142,4,36.9
271,115,4,36.9
272,128,4,36.9
273,112,4,36.9
274,112,4,36.9
275,118,4,36.9
276,138,4,36.9
277,109,4,36.9
278,118,4,36.9
279,119,4,36.9
280,113,4,36.95
281,124,4,36.95
282,128,4,36.95
283,122,4,36.95
284,123,4,36.95
285,114,4,36.95
286,113,4,36.95
287,133,4,36.95
288,116,4,36.95
289,119,4,36.95
290,111,3,36.95
291,113,3,36.95
292,121,3,36.95
293,121,3,36.95
294,124,3,37.0
295,112,3,37.0
296,122,3,37.0
297,118,3,37.0
298,127,3,37.0
299,115,3,37.0
300,119,3,36.95
301,123,3,36.95
302,111,3,36.95
303,116,3,37.0
304,124,3,36.95
305,123,3,36.95
306,123,3,36.95
307,116,3,37.0
308,124,3,36.95
309,132,3,36.95
310,116,3,36.95
311,126,1,36.95
312,114,1,36.95
313,120,1,36.95
314,125,1,36.95
315,121,1,36.95
316,119,1,36.95
317,124,1,36.95
318,126,1,36.95
319,127,1,36.95
320,117,1,36.95
321,122,1,36.95
322,119,1,36.95
323,120,1,36.95
324,128,1,36.95
325,125,1,36.95
326,130,1,36.95
327,130,1,36.95
328,124,1,36.95
329,118,1,36.95
330,122,1,36.95
331,116,1,36.95
332,122,1,36.95
333,119,1,36.95
334,120,1,36.95
335,128,1,36.95
336,125,1,36.95
337,128,1,36.95
338,126,1,36.95
339,120,1,36.95
340,120,1,36.95
341,118,1,36.95
342,113,1,36.95
343,119,1,36.95
344,118,1,36.95
345,123,1,36.95
346,123,1,36.95
347,122,1,36.9
348,123,1,36.95
349,122,1,36.9
350,122,1,36.9
351,117,1,36.9
352,119,1,36.9
353,123,1,36.9
354,120,1,36.9
355,115,1,36.9
356,120,1,36.9
357,122,1,36.9
358,118,1,36.9
359,102,1,36.9
360,111,1,36.9
361,130,1,36.9
362,121,1,36.9
363,140,1,36.9
364,122,2,36.9
365,114,2,36.9
366,118,2,36.9
367,122,2,36.9
368,125,3,36.9
369,126,3,36.9
370,123,3,36.9
371,127,3,36.9
372,114,3,36.9
373,122,3,36.9
374,124,3,36.9
375,124,3,36.9
376,134,4,36.9
377,133,4,36.9
378,117,3,36.9
379,120,3,36.9
380,114,3,36.9
381,124,3,36.9
382,127,3,36.95
383,123,3,36.9
384,137,3,36.9
385,140,3,36.9
386,120,3,36.9
387,120,3,36.95
388,126,3,36.95
389,121,3,36.9
390,135,3,36.9
391,123,3,36.9
392,138,4,36.9
393,147,4,36.9
394,157,4,36.95
395,164,4,36.95
396,155,4,36.95
397,151,4,36.95
398,151,4,36.95
399,153,4,36.95
400,148,4,36.95
401,152,4,36.95
402,152,4,36.95
403,150,4,36.95
404,150,4,36.95
405,144,4,37.0
406,140,4,37.0
407,148,4,37.0
408,136,4,37.0
409,132,4,37.0
410,137,4,37.0
411,146,4,37.0
412,151,4,37.0
413,136,4,37.05
414,137,4,37.05
415,143,4,37.05
416,133,4,37.05
417,128,4,37.05
418,132,4,37.05
419,147,4,37.05
420,152,4,37.05
421,130,4,37.05
422,129,4,37.05
423,132,4,37.05
424,140,4,37.1
425,132,4,37.1
426,129,4,37.1
427,156,4,37.15
428,157,4,37.15
429,158,4,37.15
430,161,4,37.15
431,163,4,37.15
432,159,4,37.2
433,157,4,37.2
434,156,4,37.2
435,155,4,37.2
436,164,4,37.2
437,147,4,37.2
438,132,4,37.2
439,135,4,37.2
440,137,4,37.2
441,128,4,37.2
442,133,4,37.25
443,133,4,37.25
444,130,4,37.25
445,132,4,37.3
446,140,4,37.3
447,144,4,37.3
448,162,4,37.3
449,143,4,37.3
450,158,4,37.3
451,157,4,37.3
452,155,4,37.3
453,147,2,37.3
454,140,2,37.3
455,128,3,37.3
456,131,3,37.35
457,124,3,37.35
458,130,3,37.35
459,130,3,37.35
460,138,3,37.35
461,135,3,37.35
462,134,3,37.35
463,140,3,37.35
464,139,3,37.35
465,130,3,37.35
466,127,3,37.35
467,129,3,37.35
468,147,3,37.35
469,137,3,37.35
470,129,3,37.35
471,141,3,37.35
472,135,3,37.35
473,135,3,37.35
474,141,3,37.35
475,147,3,37.35
476,137,3,37.35
477,138,3,37.35
478,144,3,37.35
479,140,3,37.35
480,135,3,37.35
481,148,3,37.35
482,154,1,37.35
483,136,1,37.35
484,130,1,37.35
485,132,1,37.35
486,131,1,37.35
487,131,1,37.3
488,136,1,37.35
489,139,1,37.3
490,131,1,37.3
491,136,1,37.3
492,133,1,37.3
493,134,1,37.3
494,136,1,37.3
495,134,1,37.3
496,131,1,37.3
497,132,1,37.3
498,124,1,37.3
499,129,1,37.3
500,130,1,37.3
501,133,1,37.3
502,132,1,37.3
503,130,1,37.25
504,124,1,37.25
505,125,1,37.25
506,127,1,37.25
507,127,1,37.25
508,130,1,37.25
509,128,1,37.2
510,129,1,37.2
511,129,1,37.2
512,129,1,37.2
513,127,1,37.2
514,129,1,37.2
515,130,1,37.2
516,129,1,37.2
517,129,1,37.2
518,129,1,37.2
519,129,1,37.15
520,131,1,37.15
521,130,1,37.15
522,129,1,37.15
523,127,1,37.15
524,128,1,37.15
525,129,1,37.15
526,130,1,37.15
527,128,1,37.15
528,126,1,37.1
529,126,1,37.1
530,127,1,37.1
531,129,1,37.1
532,129,1,37.1
533,129,1,37.1
534,129,1,37.05
535,128,1,37.05
536,128,1,37.05
537,128,1,37.05
538,126,1,37.05
539,126,1,37.05
540,127,1,37.05
541,125,1,37.05
542,128,1,37.05
543,124,1,37.05
544,127,1,37.0
545,118,1,37.0
546,118,1,37.0
547,120,1,37.0
548,124,1,36.95
549,135,1,36.95
550,126,3,36.95
551,132,3,36.95
552,135,3,36.95
553,129,3,36.95
554,131,3,36.95
555,126,3,36.95
556,117,3,36.95
557,136,3,36.95
558,137,3,36.95
559,126,3,36.95
560,126,3,36.95
561,124,3,36.95
562,122,3,36.95
563,122,3,37.0
564,124,3,37.0
565,124,3,36.95
566,138,3,37.0
567,145,3,37.0
568,124,3,37.0
569,128,3,37.0
570,125,3,37.0
571,125,3,37.0
572,142,3,37.05
573,125,3,37.05
574,123,3,37.05
575,130,3,37.05
576,133,3,37.05
577,135,3,37.05
578,119,3,37.05
579,130,3,37.05
580,131,3,37.05
581,128,3,37.05
582,139,3,37.05
583,132,3,37.05
584,124,3,37.05
585,128,3,37.05
586,136,3,37.05
587,126,3,37.05
588,129,3,37.05
589,129,3,37.05
590,130,3,37.05
591,123,3,37.05
592,129,3,37.05
593,129,3,37.05
594,137,3,37.05
595,125,3,37.05
596,137,3,37.05
597,141,3,37.05
598,121,2,37.05
599,124,2,37.05
600,126,2,37.05
601,132,2,37.05
602,124,2,37.1
603,127,2,37.05
604,138,2,37.05
605,120,2,37.05
606,127,2,37.05
607,125,2,37.05
608,132,2,37.05
609,150,2,37.05
610,120,2,37.05
611,127,2,37.05
612,133,2,37.1
613,123,2,37.05
614,134,2,37.05
615,135,2,37.05
616,121,2,37.05
617,143,2,37.05
618,119,2,37.05
619,130,2,37.05
620,132,2,37.05
621,127,2,37.05
622,135,2,37.05
623,123,1,37.05
624,137,1,37.05
625,122,1,37.05
626,128,1,37.1
627,133,1,37.1
628,125,1,37.1
629,132,1,37.1
630,132,1,37.05
631,138,1,37.05
632,121,1,37.1
633,131,1,37.05
634,120,1,37.05
635,127,1,37.1
636,126,1,37.1
637,126,1,37.1
638,129,1,37.1
639,131,1,37.1
640,127,1,37.1
641,129,1,37.1
642,128,1,37.1
643,128,1,37.1
644,125,1,37.1
645,126,1,37.1
646,124,1,37.1
647,125,1,37.05
648,125,1,37.05
649,128,1,37.05
650,126,1,37.05
651,121,1,37.05
652,125,1,37.05
653,127,1,37.05
654,129,1,37.05
655,127,1,37.05
656,124,1,37.05
657,125,1,37.05
658,124,1,37.05
659,126,1,37.05
660,126,1,37.05
661,128,1,37.05
662,128,1,37.05
663,128,1,37.05
664,125,1,37.05
665,122,1,37.05
666,126,1,37.05
667,128,1,37.05
668,126,1,37.05
669,125,1,37.0
670,123,1,37.0
671,120,1,37.0
672,115,1,37.0
673,114,1,37.0
674,117,1,36.95
675,123,1,36.95
676,109,1,36.95
677,120,1,36.95
678,125,1,36.95
679,117,4,36.95
680,135,4,36.95
681,134,4,36.95
682,140,4,36.95
683,147,4,36.95
684,135,4,36.95
685,113,4,36.95
686,154,4,36.95
687,132,4,36.95
688,101,4,36.95
689,118,4,37.0
690,109,4,37.05
691,101,4,37.05
692,118,4,37.05
693,125,4,37.05
694,112,4,37.05
695,115,4,37.05
696,111,4,37.05
697,124,4,37.1
698,126,4,37.1
699,130,4,37.1
700,135,4,37.15
701,124,4,37.1
702,114,4,37.1
703,119,4,37.15
704,119,4,37.1
705,116,4,37.15
706,136,4,37.15
707,130,4,37.15
708,137,4,37.15
709,139,4,37.15
710,110,4,37.15
711,120,4,37.15
712,136,4,37.15
713,141,4,37.15
714,126,4,37.15
715,111,4,37.15
716,113,4,37.1
717,114,4,37.15
718,133,4,37.15
719,143,4,37.15
720,114,4,37.15
721,117,4,37.15
722,132,4,37.15
723,100,4,37.15
724,158,4,37.15
725,161,4,37.2
726,133,4,37.2
727,148,4,37.2
728,150,4,37.2
729,113,4,37.2
730,116,4,37.2
731,117,4,37.2
732,120,4,37.2
733,120,4,37.2
734,120,4,37.2
735,120,4,37.2
736,111,4,37.2
737,118,4,37.2
738,131,4,37.2
739,132,4,37.2
740,145,4,37.2
741,118,4,37.2
742,126,4,37.2
743,146,4,37.2
744,167,4,37.2
745,163,4,37.2
746,163,4,37.25
747,165,4,37.25
748,166,4,37.25
749,161,4,37.25
750,134,4,37.25
751,133,4,37.25
752,132,4,37.25
753,131,4,37.25
754,130,4,37.25
755,160,4,37.25
756,153,4,37.25
757,155,4,37.3
758,139,4,37.3
759,127,4,37.3
760,125,4,37.3
761,118,4,37.3
762,141,4,37.3
763,158,4,37.3
764,163,4,37.3
765,166,4,37.3
766,166,4,37.3
767,166,4,37.3
768,153,4,37.3
769,157,4,37.3
770,155,4,37.3
771,163,4,37.3
772,128,4,37.3
773,129,4,37.3
774,130,4,37.3
775,131,4,37.3
776,152,4,37.3
777,169,4,37.3
778,160,4,37.3
779,162,4,37.3
780,168,4,37.3
781,182,4,37.3
782,160,4,37.3
783,159,4,37.3
784,146,4,37.25
785,155,4,37.25
786,153,2,37.25
787,156,2,37.25
788,168,2,37.25
789,145,2,37.25
790,146,3,37.25
791,167,3,37.25
792,167,3,37.2
793,151,3,37.2
794,152,3,37.2
795,140,3,37.2
796,168,3,37.2
797,158,3,37.2
798,157,2,37.2
799,164,2,37.2
800,159,2,37.2
801,137,2,37.2
802,157,2,37.2
803,134,2,37.2
804,151,2,37.15
805,128,2,37.15
806,160,2,37.15
807,143,2,37.2
808,152,2,37.15
809,148,2,37.2
810,161,1,37.2
811,148,1,37.2
812,152,1,37.15
813,144,1,37.15
814,152,1,37.15
815,147,1,37.15
816,153,1,37.15
817,155,1,37.15
818,147,1,37.15
819,143,1,37.15
820,131,1,37.15
821,147,1,37.15
822,169,1,37.15
823,125,1,37.15
824,168,1,37.15
825,146,1,37.15
826,148,1,37.15
827,151,1,37.1
828,161,1,37.1
829,134,1,37.1
830,148,1,37.1
831,152,1,37.1
832,158,1,37.1
833,146,1,37.1
834,165,1,37.1
835,146,1,37.1
836,153,1,37.1
837,160,1,37.1
838,162,1,37.1
839,140,1,37.1
840,156,1,37.1
841,148,1,37.1
842,150,1,37.1
843,151,1,37.1
844,155,1,37.1
845,157,1,37.1
846,152,1,37.1
847,162,1,37.05
848,161,1,37.05
849,151,1,37.05
850,169,1,37.05
851,155,1,37.05
852,150,1,37.05
853,147,1,37.05
854,153,1,37.05
855,187,1,37.05
856,144,1,37.05
857,136,1,37.05
858,140,1,37.05
859,148,1,37.05
860,154,1,37.05
861,144,1,37.05
862,151,1,37.05
863,148,1,37.05
864,164,1,37.1
865,153,1,37.1
866,163,1,37.1
867,138,1,37.1
868,140,1,37.1
869,169,1,37.1
870,150,1,37.1
871,151,3,37.1
872,160,3,37.1
873,146,3,37.05
874,150,3,37.1
875,164,3,37.1
876,166,3,37.15
877,144,3,37.15
878,158,3,37.15
879,159,3,37.15
880,161,3,37.15
881,151,3,37.15
882,170,3,37.15
883,163,3,37.15
884,136,3,37.15
885,150,3,37.15
886,150,3,37.15
887,140,3,37.15
888,156,3,37.15
889,142,3,37.15
890,155,3,37.15
891,151,3,37.2
892,153,3,37.2
893,161,3,37.2
894,156,3,37.2
895,145,3,37.2
896,160,3,37.2
897,146,3,37.2
898,146,3,37.2
899,166,3,37.2
900,150,3,37.2
901,162,3,37.2
902,150,3,37.2
903,157,3,37.25
904,141,3,37.25
905,156,3,37.25
906,174,3,37.25
907,163,3,37.25
908,162,3,37.3
909,171,3,37.3
910,163,3,37.3
911,166,3,37.3
912,156,3,37.3
913,171,3,37.3
914,165,3,37.3
915,140,3,37.3
916,165,2,37.3
917,161,2,37.3
918,159,2,37.3
919,156,2,37.3
920,131,2,37.3
921,153,2,37.3
922,152,2,37.3
923,156,2,37.3
924,149,2,37.3
925,148,2,37.3
926,172,2,37.3
927,176,2,37.3
928,181,3,37.3
929,140,3,37.3
930,133,3,37.3
931,144,3,37.3
932,154,3,37.3
933,131,3,37.3
934,148,3,37.3
935,159,3,37.3
936,165,3,37.3
937,157,3,37.3
938,171,3,37.3
939,164,3,37.3
940,172,4,37.3
941,163,4,37.35
942,166,4,37.35
943,170,4,37.35
944,166,4,37.35
945,162,4,37.35
946,145,4,37.35
947,140,4,37.35
948,152,4,37.35
949,125,4,37.35
950,141,4,37.35
951,163,4,37.35
952,143,2,37.35
953,141,2,37.35
954,153,2,37.35
955,142,2,37.35
956,142,2,37.35
957,143,2,37.3
958,149,2,37.3
959,140,1,37.3
960,154,1,37.3
961,138,1,37.3
962,144,1,37.3
963,147,1,37.3
964,143,1,37.3
965,138,1,37.3
966,140,1,37.3
967,141,1,37.3
968,144,1,37.3
969,148,1,37.3
970,158,1,37.3
971,161,1,37.3
972,125,1,37.3
973,138,1,37.3
974,114,1,37.3
975,126,1,37.3
976,134,1,37.3
977,132,1,37.25
978,143,1,37.25
979,106,1,37.25
980,141,1,37.25
981,143,1,37.25
982,128,1,37.25
983,117,1,37.25
984,127,1,37.25
985,130,1,37.2
986,126,1,37.2
987,129,1,37.2
988,117,1,37.2
989,139,1,37.2
990,126,1,37.2
991,138,1,37.2
992,128,1,37.2
993,142,1,37.2
994,146,1,37.2
995,107,1,37.2
996,126,1,37.2
997,152,1,37.2
998,131,1,37.15
999,127,1,37.15
1000,129,1,37.15
1001,126,1,37.15
1002,131,1,37.15
1003,128,1,37.15
1004,130,1,37.15
1005,132,1,37.15
1006,141,1,37.15
1007,135,1,37.15
1008,153,1,37.15
1009,161,1,37.15
1010,151,1,37.15
1011,140,1,37.15
1012,148,4,37.15
1013,157,4,37.15
1014,131,4,37.15
1015,148,4,37.15
1016,152,4,37.15
1017,177,4,37.15
1018,164,4,37.15
1019,180,4,37.15
1020,174,4,37.15
1021,153,4,37.15
1022,175,4,37.15
1023,161,4,37.15
